year,indicator_name,indicator_value,indicator_unit,data_topic,value_type,source_file,burden_household_count_30_plus,renter_households_with_computed_rent,etl_processed_at,verified,county_fips,county_name
2017,median_household_income,45689.0,dollars,demographics,currency,data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2017.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2018.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2019.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2020.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2021.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2022.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2023.S1903-Data.csv,,,2026-06-13T22:00:49.319503+00:00,True,18105,Monroe County
2018,median_household_income,47075.0,dollars,demographics,currency,data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2017.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2018.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2019.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2020.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2021.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2022.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2023.S1903-Data.csv,,,2026-06-13T22:00:49.319503+00:00,True,18105,Monroe County
2019,median_household_income,49839.0,dollars,demographics,currency,data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2017.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2018.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2019.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2020.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2021.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2022.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2023.S1903-Data.csv,,,2026-06-13T22:00:49.319503+00:00,True,18105,Monroe County
2020,median_household_income,52229.0,dollars,demographics,currency,data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2017.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2018.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2019.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2020.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2021.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2022.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2023.S1903-Data.csv,,,2026-06-13T22:00:49.319503+00:00,True,18105,Monroe County
2021,median_household_income,54096.0,dollars,demographics,currency,data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2017.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2018.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2019.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2020.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2021.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2022.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2023.S1903-Data.csv,,,2026-06-13T22:00:49.319503+00:00,True,18105,Monroe County
2022,median_household_income,60308.0,dollars,demographics,currency,data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2017.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2018.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2019.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2020.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2021.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2022.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2023.S1903-Data.csv,,,2026-06-13T22:00:49.319503+00:00,True,18105,Monroe County
2023,median_household_income,63372.0,dollars,demographics,currency,data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2017.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2018.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2019.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2020.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2021.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2022.S1903-Data.csv; data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2023.S1903-Data.csv,,,2026-06-13T22:00:49.319503+00:00,True,18105,Monroe County
2013,renters_gross_rent_30_plus_pct,66.0,percent,housing,rate_percent,data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2013.B25070-2025-07-26T051056.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2014.B25070-2025-07-26T051112.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2015.B25070-2025-07-26T051147.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2016.B25070-2025-07-26T051214.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2017.B25070-2025-07-26T051229.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2018.B25070-2025-07-26T051248.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2019.B25070-2025-07-26T051303.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2020.B25070-2025-07-26T051318.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2021.B25070-2025-07-28T043018.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2022.B25070-2025-07-26T051348.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2023.B25070-2025-07-26T051415.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5YSPT2021.B25070-2025-07-26T051332.csv,15151.0,22972.0,2026-06-13T22:00:49.319503+00:00,True,18105,Monroe County
2014,renters_gross_rent_30_plus_pct,64.0,percent,housing,rate_percent,data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2013.B25070-2025-07-26T051056.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2014.B25070-2025-07-26T051112.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2015.B25070-2025-07-26T051147.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2016.B25070-2025-07-26T051214.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2017.B25070-2025-07-26T051229.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2018.B25070-2025-07-26T051248.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2019.B25070-2025-07-26T051303.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2020.B25070-2025-07-26T051318.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2021.B25070-2025-07-28T043018.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2022.B25070-2025-07-26T051348.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2023.B25070-2025-07-26T051415.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5YSPT2021.B25070-2025-07-26T051332.csv,14607.0,22828.0,2026-06-13T22:00:49.319503+00:00,True,18105,Monroe County
2015,renters_gross_rent_30_plus_pct,64.0,percent,housing,rate_percent,data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2013.B25070-2025-07-26T051056.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2014.B25070-2025-07-26T051112.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2015.B25070-2025-07-26T051147.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2016.B25070-2025-07-26T051214.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2017.B25070-2025-07-26T051229.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2018.B25070-2025-07-26T051248.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2019.B25070-2025-07-26T051303.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2020.B25070-2025-07-26T051318.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2021.B25070-2025-07-28T043018.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2022.B25070-2025-07-26T051348.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2023.B25070-2025-07-26T051415.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5YSPT2021.B25070-2025-07-26T051332.csv,14813.0,23129.0,2026-06-13T22:00:49.319503+00:00,True,18105,Monroe County
