year,indicator_value,indicator_unit,data_topic,indicator_name,source_file,etl_processed_at,value_type,verified,county_fips,county_name,notes
1990,4615.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
1991,5028.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
1992,5692.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
1993,6163.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
1994,6426.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
1995,6277.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
1996,4848.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
1997,4398.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
1998,4192.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
1999,4111.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2000,4037.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2001,4423.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2002,5003.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2003,5708.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2004,6393.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2005,6648.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2006,7259.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2007,7595.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2008,7914.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2009,7652.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2010,8526.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
