year,burden_household_count_30_plus,renter_households_with_computed_rent,indicator_value,indicator_unit,indicator_name,data_topic,source_file,etl_processed_at,value_type,verified,county_fips,county_name
2013,15151,22972,66.0,percent,renters_cost_burden_30_plus_pct,housing,data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2013.B25070-2025-07-26T051056.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2014.B25070-2025-07-26T051112.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2015.B25070-2025-07-26T051147.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2016.B25070-2025-07-26T051214.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2017.B25070-2025-07-26T051229.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2018.B25070-2025-07-26T051248.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2019.B25070-2025-07-26T051303.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2020.B25070-2025-07-26T051318.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2021.B25070-2025-07-28T043018.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2022.B25070-2025-07-26T051348.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2023.B25070-2025-07-26T051415.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5YSPT2021.B25070-2025-07-26T051332.csv,2026-06-13T22:00:49.329194+00:00,rate_percent,True,18105,Monroe County
2014,14607,22828,64.0,percent,renters_cost_burden_30_plus_pct,housing,data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2013.B25070-2025-07-26T051056.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2014.B25070-2025-07-26T051112.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2015.B25070-2025-07-26T051147.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2016.B25070-2025-07-26T051214.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2017.B25070-2025-07-26T051229.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2018.B25070-2025-07-26T051248.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2019.B25070-2025-07-26T051303.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2020.B25070-2025-07-26T051318.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2021.B25070-2025-07-28T043018.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2022.B25070-2025-07-26T051348.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2023.B25070-2025-07-26T051415.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5YSPT2021.B25070-2025-07-26T051332.csv,2026-06-13T22:00:49.329194+00:00,rate_percent,True,18105,Monroe County
2015,14813,23129,64.0,percent,renters_cost_burden_30_plus_pct,housing,data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2013.B25070-2025-07-26T051056.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2014.B25070-2025-07-26T051112.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2015.B25070-2025-07-26T051147.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2016.B25070-2025-07-26T051214.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2017.B25070-2025-07-26T051229.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2018.B25070-2025-07-26T051248.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2019.B25070-2025-07-26T051303.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2020.B25070-2025-07-26T051318.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2021.B25070-2025-07-28T043018.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2022.B25070-2025-07-26T051348.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2023.B25070-2025-07-26T051415.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5YSPT2021.B25070-2025-07-26T051332.csv,2026-06-13T22:00:49.329194+00:00,rate_percent,True,18105,Monroe County
2016,14126,22748,62.1,percent,renters_cost_burden_30_plus_pct,housing,data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2013.B25070-2025-07-26T051056.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2014.B25070-2025-07-26T051112.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2015.B25070-2025-07-26T051147.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2016.B25070-2025-07-26T051214.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2017.B25070-2025-07-26T051229.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2018.B25070-2025-07-26T051248.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2019.B25070-2025-07-26T051303.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2020.B25070-2025-07-26T051318.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2021.B25070-2025-07-28T043018.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2022.B25070-2025-07-26T051348.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2023.B25070-2025-07-26T051415.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5YSPT2021.B25070-2025-07-26T051332.csv,2026-06-13T22:00:49.329194+00:00,rate_percent,True,18105,Monroe County
2017,14048,23073,60.9,percent,renters_cost_burden_30_plus_pct,housing,data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2013.B25070-2025-07-26T051056.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2014.B25070-2025-07-26T051112.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2015.B25070-2025-07-26T051147.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2016.B25070-2025-07-26T051214.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2017.B25070-2025-07-26T051229.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2018.B25070-2025-07-26T051248.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2019.B25070-2025-07-26T051303.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2020.B25070-2025-07-26T051318.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2021.B25070-2025-07-28T043018.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2022.B25070-2025-07-26T051348.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2023.B25070-2025-07-26T051415.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5YSPT2021.B25070-2025-07-26T051332.csv,2026-06-13T22:00:49.329194+00:00,rate_percent,True,18105,Monroe County
2018,13883,23035,60.3,percent,renters_cost_burden_30_plus_pct,housing,data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2013.B25070-2025-07-26T051056.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2014.B25070-2025-07-26T051112.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2015.B25070-2025-07-26T051147.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2016.B25070-2025-07-26T051214.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2017.B25070-2025-07-26T051229.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2018.B25070-2025-07-26T051248.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2019.B25070-2025-07-26T051303.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2020.B25070-2025-07-26T051318.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2021.B25070-2025-07-28T043018.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2022.B25070-2025-07-26T051348.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2023.B25070-2025-07-26T051415.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5YSPT2021.B25070-2025-07-26T051332.csv,2026-06-13T22:00:49.329194+00:00,rate_percent,True,18105,Monroe County
2019,13621,22652,60.1,percent,renters_cost_burden_30_plus_pct,housing,data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2013.B25070-2025-07-26T051056.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2014.B25070-2025-07-26T051112.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2015.B25070-2025-07-26T051147.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2016.B25070-2025-07-26T051214.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2017.B25070-2025-07-26T051229.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2018.B25070-2025-07-26T051248.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2019.B25070-2025-07-26T051303.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2020.B25070-2025-07-26T051318.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2021.B25070-2025-07-28T043018.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2022.B25070-2025-07-26T051348.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2023.B25070-2025-07-26T051415.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5YSPT2021.B25070-2025-07-26T051332.csv,2026-06-13T22:00:49.329194+00:00,rate_percent,True,18105,Monroe County
2020,13421,23373,57.4,percent,renters_cost_burden_30_plus_pct,housing,data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2013.B25070-2025-07-26T051056.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2014.B25070-2025-07-26T051112.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2015.B25070-2025-07-26T051147.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2016.B25070-2025-07-26T051214.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2017.B25070-2025-07-26T051229.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2018.B25070-2025-07-26T051248.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2019.B25070-2025-07-26T051303.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2020.B25070-2025-07-26T051318.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2021.B25070-2025-07-28T043018.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2022.B25070-2025-07-26T051348.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2023.B25070-2025-07-26T051415.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5YSPT2021.B25070-2025-07-26T051332.csv,2026-06-13T22:00:49.329194+00:00,rate_percent,True,18105,Monroe County
2021,14373,23909,60.1,percent,renters_cost_burden_30_plus_pct,housing,data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2013.B25070-2025-07-26T051056.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2014.B25070-2025-07-26T051112.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2015.B25070-2025-07-26T051147.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2016.B25070-2025-07-26T051214.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2017.B25070-2025-07-26T051229.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2018.B25070-2025-07-26T051248.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2019.B25070-2025-07-26T051303.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2020.B25070-2025-07-26T051318.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2021.B25070-2025-07-28T043018.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2022.B25070-2025-07-26T051348.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2023.B25070-2025-07-26T051415.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5YSPT2021.B25070-2025-07-26T051332.csv,2026-06-13T22:00:49.329194+00:00,rate_percent,True,18105,Monroe County
2022,14233,23899,59.6,percent,renters_cost_burden_30_plus_pct,housing,data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2013.B25070-2025-07-26T051056.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2014.B25070-2025-07-26T051112.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2015.B25070-2025-07-26T051147.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2016.B25070-2025-07-26T051214.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2017.B25070-2025-07-26T051229.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2018.B25070-2025-07-26T051248.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2019.B25070-2025-07-26T051303.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2020.B25070-2025-07-26T051318.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2021.B25070-2025-07-28T043018.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2022.B25070-2025-07-26T051348.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2023.B25070-2025-07-26T051415.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5YSPT2021.B25070-2025-07-26T051332.csv,2026-06-13T22:00:49.329194+00:00,rate_percent,True,18105,Monroe County
2023,14219,24221,58.7,percent,renters_cost_burden_30_plus_pct,housing,data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2013.B25070-2025-07-26T051056.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2014.B25070-2025-07-26T051112.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2015.B25070-2025-07-26T051147.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2016.B25070-2025-07-26T051214.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2017.B25070-2025-07-26T051229.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2018.B25070-2025-07-26T051248.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2019.B25070-2025-07-26T051303.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2020.B25070-2025-07-26T051318.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2021.B25070-2025-07-28T043018.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2022.B25070-2025-07-26T051348.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5Y2023.B25070-2025-07-26T051415.csv; data/raw/misc/dataset_archive/mc3_snap- us bureau/B25070/ACSDT5YSPT2021.B25070-2025-07-26T051332.csv,2026-06-13T22:00:49.329194+00:00,rate_percent,True,18105,Monroe County
