year,indicator_value
2020,6428.0
2020,6249.0
2020,6453.0
2020,4062.0
2020,23192.0
2021,5981.0
2021,6193.0
2021,6206.0
2021,3738.0
2021,22118.0
2018,6402.0
2018,6565.0
2018,6104.0
2018,3950.0
2018,23021.0
2019,6418.0
2019,6464.0
2019,6147.0
2019,4083.0
2019,23112.82334
2017,4062.0
2015,3977.0
2016,3973.0
2014,3889.0
2013,3860.0
2011,3801.0
2012,3865.0
2010,3640.0
2009,3644.0
2008,3678.0
2017,6304.0
2016,6195.0
2015,6271.0
2013,6260.0
2014,6316.0
2012,6292.0
2009,6014.0
2010,6115.0
2011,6197.0
2008,6033.0
2017,6400.0
2015,6384.0
2016,6349.0
2014,6420.0
2011,6315.0
2012,6347.0
2013,6325.0
2010,6276.0
2009,6198.0
2008,6133.0
2017,6622.0
2016,6499.0
2013,6441.0
2014,6478.0
2015,6370.0
2012,6459.0
2011,6455.0
2009,6373.0
2010,6537.0
2008,6460.0
2007,3732.0
2007,5963.0
2007,6070.0
2007,6325.0
2006,3800.0
2006,5861.0
2006,5968.0
2006,6186.0
2005,3709.0
2005,5883.0
2005,5747.0
2005,6119.0
2004,3597.0
2004,5954.0
2004,5666.0
2004,6081.0
2003,3510.0
2003,5958.0
2003,5758.0
2003,5962.0
2002,3484.0
2002,5939.0
2002,5714.0
2002,6023.0
2001,3536.0
2001,6023.0
2001,5768.0
2001,6021.0
2000,3672.0
2000,5951.0
2000,5878.0
2000,6092.0
2017,23388.0
2016,23016.0
2013,22886.0
2014,23103.0
2015,23002.0
2012,22963.0
2011,22768.0
2009,22229.0
2010,22568.0
2008,22304.0
2007,22090.0
2006,21815.0
2005,21458.0
2004,21298.0
2003,21188.0
2002,21160.0
2001,21348.0
2000,21593.0
