year,indicator_value,indicator_unit,data_topic,indicator_name,source_file,etl_processed_at,value_type,verified,county_fips,county_name
1990,4615.0,count,social_services,snap_participants_monthly_avg,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.256540+00:00,service_count,True,18105,Monroe County
1991,5028.0,count,social_services,snap_participants_monthly_avg,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.256540+00:00,service_count,True,18105,Monroe County
1992,5692.0,count,social_services,snap_participants_monthly_avg,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.256540+00:00,service_count,True,18105,Monroe County
1993,6163.0,count,social_services,snap_participants_monthly_avg,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.256540+00:00,service_count,True,18105,Monroe County
1994,6426.0,count,social_services,snap_participants_monthly_avg,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.256540+00:00,service_count,True,18105,Monroe County
1995,6277.0,count,social_services,snap_participants_monthly_avg,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.256540+00:00,service_count,True,18105,Monroe County
1996,4848.0,count,social_services,snap_participants_monthly_avg,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.256540+00:00,service_count,True,18105,Monroe County
1997,4398.0,count,social_services,snap_participants_monthly_avg,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.256540+00:00,service_count,True,18105,Monroe County
1998,4192.0,count,social_services,snap_participants_monthly_avg,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.256540+00:00,service_count,True,18105,Monroe County
1999,4111.0,count,social_services,snap_participants_monthly_avg,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.256540+00:00,service_count,True,18105,Monroe County
2000,4037.0,count,social_services,snap_participants_monthly_avg,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.256540+00:00,service_count,True,18105,Monroe County
2001,4423.0,count,social_services,snap_participants_monthly_avg,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.256540+00:00,service_count,True,18105,Monroe County
2002,5003.0,count,social_services,snap_participants_monthly_avg,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.256540+00:00,service_count,True,18105,Monroe County
2003,5708.0,count,social_services,snap_participants_monthly_avg,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.256540+00:00,service_count,True,18105,Monroe County
2004,6393.0,count,social_services,snap_participants_monthly_avg,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.256540+00:00,service_count,True,18105,Monroe County
