"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B27007_001E","Estimate!!Total"
"B27007_001M","Margin of Error!!Total"
"B27007_002E","Estimate!!Total!!Male"
"B27007_002M","Margin of Error!!Total!!Male"
"B27007_003E","Estimate!!Total!!Male!!Under 6 years"
"B27007_003M","Margin of Error!!Total!!Male!!Under 6 years"
"B27007_004E","Estimate!!Total!!Male!!Under 6 years!!With Medicaid/means-tested public coverage"
"B27007_004M","Margin of Error!!Total!!Male!!Under 6 years!!With Medicaid/means-tested public coverage"
"B27007_005E","Estimate!!Total!!Male!!Under 6 years!!No Medicaid/means-tested public coverage"
"B27007_005M","Margin of Error!!Total!!Male!!Under 6 years!!No Medicaid/means-tested public coverage"
"B27007_006E","Estimate!!Total!!Male!!6 to 17 years"
"B27007_006M","Margin of Error!!Total!!Male!!6 to 17 years"
"B27007_007E","Estimate!!Total!!Male!!6 to 17 years!!With Medicaid/means-tested public coverage"
"B27007_007M","Margin of Error!!Total!!Male!!6 to 17 years!!With Medicaid/means-tested public coverage"
"B27007_008E","Estimate!!Total!!Male!!6 to 17 years!!No Medicaid/means-tested public coverage"
"B27007_008M","Margin of Error!!Total!!Male!!6 to 17 years!!No Medicaid/means-tested public coverage"
"B27007_009E","Estimate!!Total!!Male!!18 to 24 years"
"B27007_009M","Margin of Error!!Total!!Male!!18 to 24 years"
"B27007_010E","Estimate!!Total!!Male!!18 to 24 years!!With Medicaid/means-tested public coverage"
"B27007_010M","Margin of Error!!Total!!Male!!18 to 24 years!!With Medicaid/means-tested public coverage"
"B27007_011E","Estimate!!Total!!Male!!18 to 24 years!!No Medicaid/means-tested public coverage"
"B27007_011M","Margin of Error!!Total!!Male!!18 to 24 years!!No Medicaid/means-tested public coverage"
"B27007_012E","Estimate!!Total!!Male!!25 to 34 years"
"B27007_012M","Margin of Error!!Total!!Male!!25 to 34 years"
"B27007_013E","Estimate!!Total!!Male!!25 to 34 years!!With Medicaid/means-tested public coverage"
"B27007_013M","Margin of Error!!Total!!Male!!25 to 34 years!!With Medicaid/means-tested public coverage"
"B27007_014E","Estimate!!Total!!Male!!25 to 34 years!!No Medicaid/means-tested public coverage"
"B27007_014M","Margin of Error!!Total!!Male!!25 to 34 years!!No Medicaid/means-tested public coverage"
"B27007_015E","Estimate!!Total!!Male!!35 to 44 years"
"B27007_015M","Margin of Error!!Total!!Male!!35 to 44 years"
"B27007_016E","Estimate!!Total!!Male!!35 to 44 years!!With Medicaid/means-tested public coverage"
"B27007_016M","Margin of Error!!Total!!Male!!35 to 44 years!!With Medicaid/means-tested public coverage"
"B27007_017E","Estimate!!Total!!Male!!35 to 44 years!!No Medicaid/means-tested public coverage"
"B27007_017M","Margin of Error!!Total!!Male!!35 to 44 years!!No Medicaid/means-tested public coverage"
"B27007_018E","Estimate!!Total!!Male!!45 to 54 years"
"B27007_018M","Margin of Error!!Total!!Male!!45 to 54 years"
"B27007_019E","Estimate!!Total!!Male!!45 to 54 years!!With Medicaid/means-tested public coverage"
"B27007_019M","Margin of Error!!Total!!Male!!45 to 54 years!!With Medicaid/means-tested public coverage"
"B27007_020E","Estimate!!Total!!Male!!45 to 54 years!!No Medicaid/means-tested public coverage"
"B27007_020M","Margin of Error!!Total!!Male!!45 to 54 years!!No Medicaid/means-tested public coverage"
"B27007_021E","Estimate!!Total!!Male!!55 to 64 years"
"B27007_021M","Margin of Error!!Total!!Male!!55 to 64 years"
"B27007_022E","Estimate!!Total!!Male!!55 to 64 years!!With Medicaid/means-tested public coverage"
"B27007_022M","Margin of Error!!Total!!Male!!55 to 64 years!!With Medicaid/means-tested public coverage"
"B27007_023E","Estimate!!Total!!Male!!55 to 64 years!!No Medicaid/means-tested public coverage"
"B27007_023M","Margin of Error!!Total!!Male!!55 to 64 years!!No Medicaid/means-tested public coverage"
"B27007_024E","Estimate!!Total!!Male!!65 to 74 years"
"B27007_024M","Margin of Error!!Total!!Male!!65 to 74 years"
"B27007_025E","Estimate!!Total!!Male!!65 to 74 years!!With Medicaid/means-tested public coverage"
"B27007_025M","Margin of Error!!Total!!Male!!65 to 74 years!!With Medicaid/means-tested public coverage"
