"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","42,631","±455"
"    With own children under 18 years:","11,318","±494"
"        Under 6 years only:","3,281","±338"
"            In labor force:","2,050","±277"
"                In Armed Forces","0","±27"
"                Civilian:","2,050","±277"
"                    Employed","1,917","±269"
"                    Unemployed","133","±80"
"            Not in labor force","1,231","±247"
"        Under 6 years and 6 to 17 years:","2,088","±294"
"            In labor force:","1,451","±265"
"                In Armed Forces","0","±27"
"                Civilian:","1,451","±265"
"                    Employed","1,372","±253"
"                    Unemployed","79","±56"
"            Not in labor force","637","±156"
"        6 to 17 years only:","5,949","±402"
"            In labor force:","4,767","±406"
"                In Armed Forces","0","±27"
"                Civilian:","4,767","±406"
"                    Employed","4,515","±385"
"                    Unemployed","252","±106"
"            Not in labor force","1,182","±226"
"    No own children under 18 years:","31,313","±625"
"        In labor force:","22,175","±807"
"            In Armed Forces","0","±27"
"            Civilian:","22,175","±807"
"                Employed","20,940","±823"
"                Unemployed","1,235","±273"
"        Not in labor force","9,138","±797"
