"Label (Grouping)","Monroe County, Indiana!!Total population!!Estimate","Monroe County, Indiana!!Total population!!Margin of Error"
"Total:","25,893","±908"
"    Less than 10.0 percent","630","±208"
"    10.0 to 14.9 percent","1,646","±295"
"    15.0 to 19.9 percent","2,822","±441"
"    20.0 to 24.9 percent","2,455","±355"
"    25.0 to 29.9 percent","1,983","±334"
"    30.0 to 34.9 percent","1,835","±382"
"    35.0 to 39.9 percent","1,216","±281"
"    40.0 to 49.9 percent","2,197","±453"
"    50.0 percent or more","9,125","±803"
"    Not computed","1,984","±462"
